Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
67630,1041.652,353.036460980103,245.421890168444,1.43848806941303,0.718841172617429,68870,293.443675022037,0.713667637499472,0.98199506316248,0.783256391253321,0.831199344700477,0.0052201162351042,0.0015370241979655,0.690892350630503,0.993840403630705,BARBUNYA
70040,1048.175,363.109534952909,247.007513404347,1.47003437243022,0.732974418867372,71356,298.626351337672,0.78291974066622,0.981557262178373,0.801103090476177,0.822413962157177,0.0051843166041249,0.0014629624446225,0.676364725151067,0.994279394271389,BARBUNYA
82952,1154.249,404.452505598695,261.995813906161,1.5437365184146,0.761828359632322,84639,324.98887167851,0.708918743376748,0.980068290031782,0.782415979448837,0.803527898034511,0.0048757414601057,0.0012537884673482,0.645657082919759,0.996724417276272,BARBUNYA
58910,993.443,358.499458955432,209.888390246337,1.70804806561562,0.810698681474518,60140,273.873221729231,0.761209458586381,0.979547721982042,0.750089314637287,0.763943194021049,0.0060855450510173,0.00127856705295,0.583609203691082,0.996832571440027,BARBUNYA
60813,944.042,359.540496396496,215.890013747574,1.66538734309815,0.79965410974351,61634,278.261597123964,0.702520678342036,0.986679430184638,0.857479329729133,0.773936732893369,0.0059122308782085,0.0013084375142061,0.598978066521662,0.997530490778578,BARBUNYA
63320,993.072,341.413911330299,236.59768486309,1.44301459047607,0.720943653255716,64491,283.939303324902,0.739762836614288,0.98184242762556,0.806843484405972,0.831657099789956,0.0053918811012365,0.0015910992359208,0.691653531631042,0.998066137697896,BARBUNYA
81976,1180.158,408.061828802236,256.321835479695,1.59199011679425,0.778096624872546,83902,323.07133100789,0.714331773542816,0.977044647326643,0.739632996744243,0.791721519153569,0.0049778206890094,0.0012064485572204,0.626822963890835,0.997895963493889,BARBUNYA
84700,1159.78,417.001270249873,259.116375110044,1.60932040699001,0.783509106954343,86013,328.395172679302,0.805010644768856,0.984734865659842,0.791301600084652,0.787516000808637,0.0049232735566691,0.0011680764730348,0.620181451529628,0.998070665983318,BARBUNYA
69123,1053.271,356.35499687579,248.621402336997,1.43332389539322,0.716410493676258,70470,296.665024987322,0.725883687228278,0.980885483184334,0.782982740819723,0.832498569090436,0.0051553751555313,0.0015274746796641,0.693053867537624,0.993370669136365,BARBUNYA
71016,1068.488,379.498786776776,239.198683968092,1.58654211838138,0.776350385708586,72219,300.699816276818,0.73353785132162,0.98334233373489,0.781675990824917,0.792360415248685,0.0053438490872025,0.0012993466509429,0.627835027653068,0.996086714766734,BARBUNYA
68513,1015.202,359.0803257753,243.544441887096,1.47439343305467,0.73483582932254,69406,295.353112271464,0.816710176542813,0.9871336772037,0.835368162048774,0.822526579905929,0.0052410538988994,0.0014797834060966,0.676549974651745,0.997500839759837,BARBUNYA
96192,1220.012,448.888427967373,273.838300440217,1.63924632619231,0.792373356913604,97341,349.964938654095,0.811870157492277,0.988196135235923,0.812120762646844,0.77962566386214,0.0046665879487626,0.0010634662833276,0.607816175752483,0.996360433102519,BARBUNYA
73871,1055.692,373.475363731071,252.656932865056,1.47819163122091,0.736440542886921,74889,306.68465629883,0.768536917779003,0.986406548358237,0.832931681306189,0.821164355354011,0.0050557778252774,0.0014180387588436,0.674310898503969,0.996760727009623,BARBUNYA
77356,1098.053,396.237889356291,251.3573303555,1.57639281414981,0.77303805177977,78978,313.835495478974,0.7401638089406,0.979462635164223,0.806226860434973,0.792038075886222,0.0051222644572662,0.0012434433380373,0.627324313653549,0.988909540184916,BARBUNYA
56235,1023.117,321.725234316306,223.769595931442,1.43775222445714,0.718496924224417,57765,267.582932561443,0.746971468041018,0.973513373149831,0.675096663606611,0.831712604484009,0.0057210853439371,0.0016886954060477,0.691745856457574,0.994559143880888,BARBUNYA
82036,1144.187,415.215322687262,253.112084163106,1.64044053471464,0.792715060574366,83728,323.18954081451,0.701888277620445,0.97979170647812,0.787445167737199,0.778366122721186,0.0050613794271693,0.0011459993220412,0.605853821000013,0.993867166080168,BARBUNYA
72059,1082.571,366.421910372983,251.04280578775,1.45959932698801,0.728430665339729,73183,302.899931254649,0.735746375331836,0.984641241818455,0.772654461968039,0.826642519674453,0.0050850263030708,0.0014646839650302,0.683337855333728,0.997399473750542,BARBUNYA
47794,833.459,279.654556359284,217.918565037495,1.28329844825826,0.62672319683461,48528,246.684435668472,0.738131274131274,0.984874711506759,0.864599065945637,0.882104117594087,0.0058512481976667,0.0021852829657352,0.778107674276443,0.998544370976802,BARBUNYA
68551,1025.494,355.975012917386,245.628370290184,1.44924225364048,0.723794339751921,69684,295.435008134006,0.727810336773262,0.983740887434705,0.819138636895215,0.829931869972487,0.0051928493080682,0.0015196908589372,0.688786908796028,0.998219091981617,BARBUNYA
81139,1149.98,439.393861140019,235.626983454475,1.86478583521362,0.844056274019429,82672,321.417770853241,0.767598505274112,0.981456841494097,0.771008099313916,0.731502643253398,0.0054153226086101,0.0009564619462607,0.535096117086709,0.997839659621105,BARBUNYA
57563,986.047,343.635912380558,213.958916035864,1.60608362926534,0.782514322874652,58779,270.724006902953,0.710926403932369,0.979312339440957,0.743974502567508,0.78782221866014,0.0059697359828459,0.0014185602520352,0.620663848214586,0.996838045894273,BARBUNYA
